Energy (eV),ICS (cm^2),TICS (cm^2),s2S (cm^2),BE_s2S,s2P (cm^2),BE_s2P,t2S (cm^2),BE_t2S,S3P (cm^2),BE_S3P,s3D (cm^2),BE_s3D,s3S (cm^2),BE_s3S,t2P (cm^2),BE_t2P,t3D (cm^2),BE_t3D,s4F (cm^2),BE_s4F,t3S (cm^2),BE_t3S,T2P (cm^2),BE_T2P,s4D (cm^2),BE_s4D,t4F (cm^2),BE_t4F,s4S (cm^2),BE_s4S,s3P (cm^2),BE_s3P,t4D (cm^2),BE_t4D,s5F (cm^2),BE_s5F,t4S (cm^2),BE_t4S,t3P (cm^2),BE_t3P,s5D (cm^2),BE_s5D,t5F (cm^2),BE_t5F,s5S (cm^2),BE_s5S,T3P (cm^2),BE_T3P,t5D (cm^2),BE_t5D,s6F (cm^2),BE_s6F,t5S (cm^2),BE_t5S,s4P (cm^2),BE_s4P,s6D (cm^2),BE_s6D,t6F (cm^2),BE_t6F,s6S (cm^2),BE_s6S,t4P (cm^2),BE_t4P,t6D (cm^2),BE_t6D,s7F (cm^2),BE_s7F,t6S (cm^2),BE_t6S,T4P (cm^2),BE_T4P,s7D (cm^2),BE_s7D,t7F (cm^2),BE_t7F,s7S (cm^2),BE_s7S,s5P (cm^2),BE_s5P,t7D (cm^2),BE_t7D,s8F (cm^2),BE_s8F,t7S (cm^2),BE_t7S,t5P (cm^2),BE_t5P,s8D (cm^2),BE_s8D,t8F (cm^2),BE_t8F,s8S (cm^2),BE_s8S,s6P (cm^2),BE_s6P,t8D (cm^2),BE_t8D,s9F (cm^2),BE_s9F,t8S (cm^2),BE_t8S,t6P (cm^2),BE_t6P,s9D (cm^2),BE_s9D,t9F (cm^2),BE_t9F,s9S (cm^2),BE_s9S,s7P (cm^2),BE_s7P,t9D (cm^2),BE_t9D,s:F (cm^2),BE_s:F,t9S (cm^2),BE_t9S,t7P (cm^2),BE_t7P,s:D (cm^2),BE_s:D,t:F (cm^2),BE_t:F,s:S (cm^2),BE_s:S,s8P (cm^2),BE_s8P,t:D (cm^2),BE_t:D,s;F (cm^2),BE_s;F,t:S (cm^2),BE_t:S,t8P (cm^2),BE_t8P,s;D (cm^2),BE_s;D,t;F (cm^2),BE_t;F,s;S (cm^2),BE_s;S,s9P (cm^2),BE_s9P,t;D (cm^2),BE_t;D,s<F (cm^2),BE_s<F,t;S (cm^2),BE_t;S,t9P (cm^2),BE_t9P,s<D (cm^2),BE_s<D,t<F (cm^2),BE_t<F,s<S (cm^2),BE_s<S,s:P (cm^2),BE_s:P,t<D (cm^2),BE_t<D,s=F (cm^2),BE_s=F,t<S (cm^2),BE_t<S,t:P (cm^2),BE_t:P,s=D (cm^2),BE_s=D,t=F (cm^2),BE_t=F,s=S (cm^2),BE_s=S,s;P (cm^2),BE_s;P,t=D (cm^2),BE_t=D,s>F (cm^2),BE_s>F,t=S (cm^2),BE_t=S,t;P (cm^2),BE_t;P,s>D (cm^2),BE_s>D,t>F (cm^2),BE_t>F,s>S (cm^2),BE_s>S,s<P (cm^2),BE_s<P,t>D (cm^2),BE_t>D,s?F (cm^2),BE_s?F,t>S (cm^2),BE_t>S,t<P (cm^2),BE_t<P,s?D (cm^2),BE_s?D,t?F (cm^2),BE_t?F,s?S (cm^2),BE_s?S,s=P (cm^2),BE_s=P,t?D (cm^2),BE_t?D,s@F (cm^2),BE_s@F,t?S (cm^2),BE_t?S,t=P (cm^2),BE_t=P,s@D (cm^2),BE_s@D,t@F (cm^2),BE_t@F,s@S (cm^2),BE_s@S,s>P (cm^2),BE_s>P,t@D (cm^2),BE_t@D,sAF (cm^2),BE_sAF,t@S (cm^2),BE_t@S,t>P (cm^2),BE_t>P,sAD (cm^2),BE_sAD,tAF (cm^2),BE_tAF,sAS (cm^2),BE_sAS,s?P (cm^2),BE_s?P,tAD (cm^2),BE_tAD,sBF (cm^2),BE_sBF,tAS (cm^2),BE_tAS,t?P (cm^2),BE_t?P,sBD (cm^2),BE_sBD,tBF (cm^2),BE_tBF,sBS (cm^2),BE_sBS,s@P (cm^2),BE_s@P,tBD (cm^2),BE_tBD,sCF (cm^2),BE_sCF,tBS (cm^2),BE_tBS,t@P (cm^2),BE_t@P,sCD (cm^2),BE_sCD,tCF (cm^2),BE_tCF,sCS (cm^2),BE_sCS,sAP (cm^2),BE_sAP,tCD (cm^2),BE_tCD,sDF (cm^2),BE_sDF,tCS (cm^2),BE_tCS,tAP (cm^2),BE_tAP,sDD (cm^2),BE_sDD,tDF (cm^2),BE_tDF,sDS (cm^2),BE_sDS,sBP (cm^2),BE_sBP,tDD (cm^2),BE_tDD,tDS (cm^2),BE_tDS,tBP (cm^2),BE_tBP,sED (cm^2),BE_sED,sES (cm^2),BE_sES,sCP (cm^2),BE_sCP,tED (cm^2),BE_tED,tES (cm^2),BE_tES,tCP (cm^2),BE_tCP,sFD (cm^2),BE_sFD,sFS (cm^2),BE_sFS,sDP (cm^2),BE_sDP,sGD (cm^2),BE_sGD,tFS (cm^2),BE_tFS,tDP (cm^2),BE_tDP,sGS (cm^2),BE_sGS,sEP (cm^2),BE_sEP,sHS (cm^2),BE_sHS,tEP (cm^2),BE_tEP,sIS (cm^2),BE_sIS,sFP (cm^2),BE_sFP,sJS (cm^2),BE_sJS,tFP (cm^2),BE_tFP,BE_sGP,BE_tGP,sGP (cm^2),tGP (cm^2),BE_sHP,BE_tHP,sHP (cm^2),tHP (cm^2)
16.463,3.44788e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.5924,3.11975e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.7,3.08662e-16,0.0,0.0,-0.2908,0.0,-0.2451,7.07139e-19,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.8,3.07119e-16,0.0,0.0,-0.2908,0.0,-0.2451,2.19139e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.9,3.05098e-16,0.0,0.0,-0.2908,0.0,-0.2451,3.85543e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,3.03965e-16,0.0,0.0,-0.2908,0.0,-0.2451,4.56466e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.1,3.02159e-16,0.0,0.0,-0.2908,0.0,-0.2451,5.16991e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2,3.00307e-16,0.0,0.0,-0.2908,0.0,-0.2451,5.31818e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3,2.98765e-16,0.0,0.0,-0.2908,0.0,-0.2451,5.25774e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.4,2.97776e-16,0.0,0.0,-0.2908,0.0,-0.2451,4.50952e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.5,2.94677e-16,0.0,1.14545e-18,-0.2908,0.0,-0.2451,3.55469e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.6,2.95609e-16,0.0,1.30149e-18,-0.2908,0.0,-0.2451,3.23505e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7,2.94871e-16,0.0,1.48242e-18,-0.2908,0.0,-0.2451,3.93946e-18,-0.3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
